variable,importancia
age_derived,0.48066278407005997
preventive_care_score,0.150706725371018
weight_kg,0.08020729691200106
pa_avg_activity_intensity,0.07933071921651977
daily_supplements,0.07472483948529729
pa_activity_level,0.05261906766474454
total_daily_active_minutes,0.049239808972800135
dental_brushing_freq,0.022322408470362924
diet_primary,0.010186349837196388
